,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
42,Stefania,"KALUSH, Kalush Orchestra",0.832,0.817,2,-5.182,1,0.0422,0.145,0.00169,0.115,0.324,104.985,2022,1,6,12,Ukraine,Ukrainian,Traditional,0,Male,1,unknown,unknown,unknown,1,2,2,0,1,439.0,192.0,39.0,26.0,1.0,631.0,1.0,202.0,135.0,337.0,1,unknown,0
43,Intention,Justin Bieber,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,2022,1,7,-,Bulgaria,English,Rock,-,Male,1,unknown,unknown,unknown,0,0,5,0,0,,,,,,,16.0,18.0,11.0,29.0,0,unknown,0
44,De diepte,S10,0.502,0.397,2,-8.819,0,0.0282,0.378,3.44e-05,0.143,0.159,90.043,2022,1,8,11,Netherlands,Dutch,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,42.0,129.0,12.0,25.0,11.0,171.0,2.0,79.0,142.0,221.0,0,unknown,0
45,Trenuletul,Various Artists,0.701,0.884,0,-3.49,1,0.142,0.406,2.44e-05,0.319,0.955,141.975,2022,1,9,19,Moldova,"Romanian, English",Traditional,0,Male,1,unknown,unknown,unknown,0,0,5,0,1,239.0,14.0,35.0,4.0,7.0,253.0,8.0,135.0,19.0,154.0,0,unknown,0
46,"Saudade, saudade",Various Artists,0.644,0.337,10,-11.261,0,0.0357,0.681,0.000208,0.108,0.376,82.992,2022,1,10,3,Portugal,"English,ï¿½Portuguese",Ballad,0,Female,6,unknown,unknown,unknown,0,0,0,0,1,36.0,171.0,9.0,29.0,9.0,207.0,4.0,87.0,121.0,208.0,0,unknown,0
47,Guilty Pleasure,Kenny Chesney,0.747,0.746,5,-6.411,1,0.0309,0.118,0.000202,0.0862,0.792,106.031,2022,1,11,-,Croatia,"English,ï¿½Croatian",Ballad,-,Female,1,unknown,unknown,unknown,3,0,0,1,0,,,,,,,11.0,33.0,42.0,75.0,0,unknown,0
48,The Show,"Doug E. Fresh, Doug E. Fresh & The Get Fresh Crew",0.793,0.959,1,-9.383,1,0.122,0.0119,0.000126,0.383,0.363,100.884,2022,1,12,-,Denmark,English,Rock,-,Female,1,unknown,unknown,unknown,0,0,3,1,0,,,,,,,13.0,20.0,35.0,55.0,0,unknown,0
49,Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,2022,1,13,-,Austria,English,Dance,-,Female,1,unknown,unknown,unknown,0,0,0,1,0,,,,,,,15.0,36.0,6.0,42.0,0,unknown,0
50,Meo aekkandi sol,"LEDNA Music, Bóas Gunnarsson",0.412,0.518,4,-4.956,1,0.0259,0.374,0.0,0.187,0.386,161.829,2022,1,14,18,Iceland,Icelandic,Traditional,0,Female,3,unknown,unknown,unknown,0,0,1,1,1,10.0,10.0,2.0,4.0,23.0,20.0,10.0,39.0,64.0,103.0,0,unknown,0
51,Die Together,K3NT4!,0.445,0.713,6,-9.464,1,0.0333,1.73e-05,0.0155,0.113,0.136,85.01,2022,1,15,17,Greece,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,57.0,158.0,9.0,26.0,8.0,215.0,3.0,60.0,151.0,211.0,0,unknown,0
52,Give That Wolf a Banana,Subwoolfer,0.737,0.526,7,-10.101,0,0.0411,0.2,2.78e-06,0.0884,0.554,124.075,2022,1,16,7,Norway,English,Pop,0,Male,2,unknown,unknown,unknown,4,0,0,0,1,146.0,36.0,32.0,10.0,10.0,182.0,6.0,104.0,73.0,177.0,0,unknown,0
53,Snap,Rosa Linn,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2022,1,17,8,Armenia,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,1,1,21.0,40.0,4.0,10.0,20.0,61.0,5.0,105.0,82.0,187.0,0,unknown,0
54,Jezebel,Sade,0.579,0.226,2,-12.419,0,0.029,0.802,6.94e-05,0.124,0.202,92.43,2022,2,1,4,Finland,English,Rock,0,Male,1,unknown,unknown,unknown,0,0,3,0,1,26.0,12.0,8.0,3.0,21.0,38.0,7.0,99.0,63.0,162.0,0,unknown,0
55,I.M,Kodak Black,0.79,0.663,8,-8.074,0,0.156,0.304,0.0,0.0892,0.919,130.97,2022,2,2,-,Israel,English,Pop,-,Male,1,unknown,unknown,unknown,4,0,0,0,0,,,,,,,13.0,27.0,34.0,61.0,0,unknown,0
56,In corpore sano,Konstrakta,0.922,0.705,0,-7.457,1,0.0841,0.00641,1.47e-05,0.169,0.629,135.944,2022,2,3,24,Serbia,"Serbian,ï¿½Latin",Traditional,0,Female,1,unknown,unknown,unknown,5,0,0,0,1,225.0,87.0,34.0,15.0,5.0,312.0,3.0,174.0,63.0,237.0,0,unknown,0
57,Fade to Black,Metallica,0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,2022,2,4,15,Azerbaijan,English,Ballad,0,Male,1,unknown,unknown,unknown,1,0,0,0,1,3.0,103.0,1.0,19.0,16.0,106.0,10.0,0.0,96.0,96.0,0,unknown,0
