song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
De diepte,S10,0.502,0.397,2,-8.819,0,0.0282,0.378,3.44e-05,0.143,0.159,90.043,2022,Netherlands,Dutch,Ballad,Female,1,0,0,0,2.0,0,0,0,1,0,0,1,0,0,1
Trenuletul,Various Artists,0.701,0.884,0,-3.49,1,0.142,0.406,2.44e-05,0.319,0.955,141.975,2022,Moldova,"Romanian, English",Traditional,Male,1,0,0,5,8.0,0,1,1,0,0,0,0,1,0,1
"Saudade, saudade",Various Artists,0.644,0.337,10,-11.261,0,0.0357,0.681,0.000208,0.108,0.376,82.992,2022,Portugal,"English,ï¿½Portuguese",Ballad,Female,6,0,0,0,4.0,0,1,0,1,0,0,1,0,0,1
Guilty Pleasure,Kenny Chesney,0.747,0.746,5,-6.411,1,0.0309,0.118,0.000202,0.0862,0.792,106.031,2022,Croatia,"English,ï¿½Croatian",Ballad,Female,1,3,0,0,11.0,0,1,0,1,0,0,1,0,0,0
The Show,"Doug E. Fresh, Doug E. Fresh & The Get Fresh Crew",0.793,0.959,1,-9.383,1,0.122,0.0119,0.000126,0.383,0.363,100.884,2022,Denmark,English,Rock,Female,1,0,0,3,13.0,1,0,0,1,0,1,0,0,0,0
Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,2022,Austria,English,Dance,Female,1,0,0,0,15.0,1,0,0,1,0,0,0,0,1,0
Meo aekkandi sol,"LEDNA Music, Bóas Gunnarsson",0.412,0.518,4,-4.956,1,0.0259,0.374,0.0,0.187,0.386,161.829,2022,Iceland,Icelandic,Traditional,Female,3,0,0,1,10.0,0,0,0,1,0,0,0,1,0,1
Die Together,K3NT4!,0.445,0.713,6,-9.464,1,0.0333,1.73e-05,0.0155,0.113,0.136,85.01,2022,Greece,English,Ballad,Female,1,0,0,0,3.0,1,0,0,1,0,0,1,0,0,1
Give That Wolf a Banana,Subwoolfer,0.737,0.526,7,-10.101,0,0.0411,0.2,2.78e-06,0.0884,0.554,124.075,2022,Norway,English,Pop,Male,2,4,0,0,6.0,1,0,1,0,1,0,0,0,0,1
Snap,Rosa Linn,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,2022,Armenia,English,Ballad,Female,1,0,0,0,5.0,1,0,0,1,0,0,1,0,0,1
